Lab,Excited,Difficulty,Challenging problems,Pace,Other courses,Confident (visualize),Confident (analyze),Confident (programming)
Section 03 (noon),Strongly agree,Slightly difficult,No,just right,Neutral,Moderately,Moderately,Very
Section 02 (11am),Strongly agree,Moderately difficult,No,just right,Agree,Moderately,Moderately,Moderately
Section 03 (noon),Agree,Slightly difficult,No,just right,Agree,Moderately,Somewhat,Somewhat
Section 01 (10am),Agree,Moderately difficult,Yes,just right,Agree,Moderately,Moderately,Moderately
Section 01 (10am),Agree,Moderately difficult,Yes,just right,Agree,Moderately,Moderately,Moderately
Section 01 (10am),Agree,Very difficult,No,just right,Agree,Moderately,Moderately,Somewhat
Section 02 (11am),Strongly agree,Very difficult,No,just right,Neutral,Somewhat,Somewhat,Moderately
Section 01 (10am),Disagree,Moderately difficult,Yes,just right,Agree,Moderately,Moderately,Not at all
Section 02 (11am),Strongly disagree,Slightly difficult,No,just right,Strongly disagree,Moderately,Moderately,Moderately
Section 01 (10am),Agree,Moderately difficult,No,too slow,Agree,Moderately,Moderately,Not at all
Section 02 (11am),Agree,Slightly difficult,Yes,just right,Neutral,Moderately,Moderately,Moderately
Section 02 (11am),Neutral,Very difficult,Yes,too fast,Neutral,Moderately,Very,Somewhat
Section 01 (10am),Strongly agree,Slightly difficult,Yes,just right,Strongly Agree,Not at all,Not at all,Moderately
Section 01 (10am),Agree,Moderately difficult,Yes,just right,Neutral,Moderately,Very,Somewhat
Section 01 (10am),Strongly agree,Moderately difficult,Yes,just right,Agree,Very,Very,Very
Section 03 (noon),Agree,Moderately difficult,Yes,just right,Agree,Very,Moderately,Moderately
Section 02 (11am),Neutral,Slightly difficult,Yes,just right,Agree,Moderately,Somewhat,Absolutely
Section 02 (11am),Strongly agree,Very difficult,Yes,just right,Strongly Agree,Moderately,Somewhat,Somewhat
Section 01 (10am),Neutral,Slightly difficult,Yes,just right,Neutral,Very,Very,Very
Section 01 (10am),Agree,Not at all difficult,Yes,just right,Agree,Moderately,Moderately,Moderately
Section 01 (10am),Strongly agree,Slightly difficult,Yes,too slow,Agree,Absolutely,Very,Absolutely
Section 01 (10am),Agree,Slightly difficult,Yes,just right,Agree,Moderately,Moderately,Moderately
Section 02 (11am),Agree,Moderately difficult,Yes,just right,Agree,Very,Moderately,Moderately
Section 02 (11am),Agree,Moderately difficult,Yes,just right,Neutral,Not at all,Moderately,Moderately
Section 02 (11am),Agree,Moderately difficult,No,just right,Agree,Moderately,Somewhat,Moderately
Section 02 (11am),Strongly agree,Moderately difficult,Yes,just right,Neutral,Moderately,Very,Somewhat
Section 01 (10am),Strongly agree,Moderately difficult,Yes,just right,Strongly Agree,Very,Very,Very
Section 02 (11am),Strongly agree,Slightly difficult,No,too fast,Agree,Very,Very,Moderately
Section 03 (noon),Strongly agree,Moderately difficult,Yes,just right,Strongly Agree,Very,Very,Moderately
Section 02 (11am),Neutral,Not at all difficult,Yes,too slow,Agree,Absolutely,Absolutely,Absolutely
Section 03 (noon),Strongly agree,Moderately difficult,No,just right,Strongly Agree,Moderately,Moderately,Very
Section 02 (11am),Agree,Moderately difficult,Yes,just right,Neutral,Moderately,Not at all,Somewhat
Section 01 (10am),Neutral,Moderately difficult,No,just right,Neutral,Somewhat,Not at all,Somewhat
Section 03 (noon),Agree,Moderately difficult,Yes,just right,Strongly Agree,Moderately,Somewhat,Very
Section 02 (11am),Strongly agree,Moderately difficult,No,just right,Strongly Agree,Moderately,Moderately,Very
Section 02 (11am),Strongly agree,Slightly difficult,No,just right,Agree,Moderately,Moderately,Moderately
Section 03 (noon),Agree,Very difficult,Yes,too fast,Neutral,Very,Moderately,Somewhat
Section 01 (10am),Strongly agree,Slightly difficult,Yes,just right,Strongly Agree,Very,Very,Absolutely
Section 01 (10am),Agree,Slightly difficult,Yes,just right,Neutral,Very,Moderately,Very
Section 03 (noon),Strongly disagree,Very difficult,No,just right,Agree,Moderately,Moderately,Somewhat
Section 03 (noon),Agree,Moderately difficult,No,just right,Strongly Agree,Somewhat,Moderately,Somewhat
Section 03 (noon),Agree,Slightly difficult,Yes,just right,Agree,Somewhat,Moderately,Not at all
Section 02 (11am),Neutral,Slightly difficult,No,just right,Agree,Moderately,Moderately,Moderately
Section 03 (noon),Agree,Very difficult,No,too fast,Neutral,Moderately,Moderately,Somewhat
Section 01 (10am),Strongly agree,Slightly difficult,Yes,just right,Agree,Somewhat,Somewhat,Moderately
Section 03 (noon),Agree,Slightly difficult,Yes,just right,Agree,Somewhat,Somewhat,Moderately