Year,Day,Place,WLT,UCSB.Score,Opponent.Score,Attended
2018,18-Aug,Westmont,W,7,0,1587
2018,24-Aug,St. John's (N.Y.),W,2,0,1549
2018,26-Aug,UC Riverside,W,3,1,1017
2018,31-Aug,at Portland,L,0,1,3213
2018,2-Sep,at Seattle U,L,0,2,421
2018,8-Sep,Butler,W,1,0,1370
2018,11-Sep,at New Mexico,W,2,1,773
2018,19-Sep,at St. Mary's (Cal.),L,0,1,401
2018,22-Sep,UCLA,W,3,1,5235
2018,25-Sep,Gonzaga,W,2,1,1840
2018,30-Sep,at Cal Poly,L,0,1,11075
2018,3-Oct,at Sacramento State,L,0,1,326
2018,6-Oct,Cal State Fullerton,W,1,0,1567
2018,10-Oct,at UC Riverside,L,0,1,489
2018,13-Oct,at UC Irvine,T,2,2,761
2018,17-Oct,UC Davis,W,1,0,1032
2017,19-Aug,Westmont,L,1,2,1460
2017,25-Aug,St. Mary's (Cal.),T,0,0,1632
2017,27-Aug,Siena,T,0,0,998
2017,1-Sep,at San Diego,L,0,1,364
2017,4-Sep,at San Diego State,L,1,3,722
2017,9-Sep,Akron,L,1,3,1759
2017,12-Sep,at St. John's (N.Y.),L,1,2,633
2017,15-Sep,Pacific,W,1,0,1843
2017,17-Sep,Club América U-20,W,2,1,1285
2017,23-Sep,Portland,W,1,0,1267
2017,28-Sep,Cal State Fullerton,W,5,2,3222
2017,30-Sep,UC Riverside,W,3,1,2108
2017,5-Oct,at Cal State Northridge,W,1,0,1002
2017,7-Oct,at UC Irvine,T,1,1,460
2017,11-Oct,at UC Davis,L,0,3,303
2017,14-Oct,Cal Poly,T,0,0,10293
2017,18-Oct,at Sacramento State,W,2,1,303
2017,21-Oct,UC Davis,L,0,5,1423
2017,25-Oct,Sacramento State,T,0,0,1256
2017,28-Oct,at Cal Poly,L,1,4,11075
2017,1-Nov,UC Riverside,L,0,1,241
2016,20-Aug,Westmont,W,3,0,1643
2016,26-Aug,vs. Oakland,W,2,1,0
2016,28-Aug,at Ohio St.,W,1,0,734
2016,2-Sep,San Diego,W,5,2,1738
2016,4-Sep,St. Mary's (Cal.),W,1,0,1481
2016,9-Sep,vs. Butler,L,2,4,0
2016,12-Sep,at Akron,L,0,2,2348
2016,17-Sep,UCLA,L,1,2,4100
2016,21-Sep,Loyola Marymount,L,3,4,2271
2016,24-Sep,Cal,L,2,3,5808
2016,29-Sep,at UC Riverside,T,2,2,688
2016,1-Oct,at Cal State Fullerton,W,2,1,789
2016,6-Oct,UC Irvine,W,1,0,2900
2016,8-Oct,Cal State Northridge,W,2,1,3409
2016,12-Oct,Sacramento State,T,1,1,1864
2016,15-Oct,at Cal Poly,W,2,1,11075
2016,19-Oct,at UC Davis,W,2,1,352
2016,22-Oct,Cal Poly,T,0,0,11424
2016,26-Oct,at Sacramento State,W,1,0,467
2016,30-Oct,UC Davis,L,0,1,1806
2016,9-Nov,Cal State Fullerton,L,1,2,1292
2015,22-Aug,Westmont,W,4,1,2760
2015,28-Aug,Stanford,W,1,0,3312
2015,4-Sep,Denver,T,2,2,0
2015,6-Sep,at New Mexico,L,1,2,1807
2015,11-Sep,at Yale,W,2,0,1011
2015,13-Sep,at UConn,L,1,2,2617
2015,18-Sep,Col. of Charleston,W,3,1,2950
2015,21-Sep,at UCLA,W,4,2,1804
2015,25-Sep,Akron,L,0,2,7283
2015,27-Sep,San Diego,W,4,0,2007
2015,1-Oct,at UC Irvine,W,3,1,673
2015,3-Oct,at Cal State Northridge,W,2,1,434
2015,8-Oct,UC Riverside,W,2,0,1286
2015,10-Oct,Cal State Fullerton,W,2,1,2416
2015,14-Oct,at Sacramento State,L,2,5,2046
2015,17-Oct,at Cal Poly,L,2,3,11075
2015,21-Oct,UC Davis,W,2,1,1252
2015,24-Oct,Cal Poly,T,2,2,14919
2015,28-Oct,Sacramento State,W,2,1,2046
2015,31-Oct,at UC Davis,W,1,0,1016
2015,11-Nov,UC Davis,W,1,0,2900
2015,14-Nov,Cal State Fullerton,L,0,1,3242
2015,22-Nov,South Carolina,W,1,0,2519
2015,29-Nov,at Clemson,L,2,3,1015
2014,23-Aug,Westmont,W,2,0,2700
2014,29-Aug,at Col. of Charleston,W,2,1,1237
2014,31-Aug,vs. Furman,L,0,3,0
2014,5-Sep,Northwestern,T,1,1,1605
2014,9-Sep,at Stanford,L,1,4,967
2014,12-Sep,Colgate,W,4,1,1550
2014,20-Sep,UCLA,L,0,1,5104
2014,26-Sep,San Diego State,W,1,0,2069
2014,28-Sep,Drake,W,4,1,2874
2014,2-Oct,Cal State Northridge,W,2,1,4095
2014,4-Oct,UC Irvine,W,1,0,4731
2014,9-Oct,at Cal State Fullerton,L,0,2,1536
2014,11-Oct,at UC Riverside,T,1,1,829
2014,14-Oct,at Loyola Marymount,L,0,4,1321
2014,18-Oct,at UC Davis,L,0,1,1344
2014,22-Oct,Sacramento State,W,4,1,2095
2014,25-Oct,Cal Poly,T,2,2,14345
2014,29-Oct,UC Davis,W,1,0,1880
2014,2-Nov,at Cal Poly,W,2,0,11075
2014,5-Nov,at Sacramento State,W,2,1,584
2014,12-Nov,UC Irvine,L,2,3,1936